Crop,Season,Agro_Zone,Zone_Group,mean_temp,rain_avg,Sand_pct,Silt_pct,Clay_pct,Soil_Type,N_kg_ha,P_kg_ha,K_kg_ha,Humidity_pct,pH
Wheat,Rabi,8,plains,23.52,53.08,31.81,26.56,41.63,clayey,61.7,25.4,29.5,42.5,6.4
Maize,Kharif,8,plains,23.19,65.59,20.34,33.3,46.36,clayey,139.2,54.6,59.8,63.3,5.74
Wheat,Rabi,5,arid,19.16,57.42,50.72,32.4,16.88,sandy,121.0,59.8,49.4,61.1,7.01
Maize,Kharif,6,plains,22.73,89.03,49.97,29.55,20.48,sandy,81.6,32.1,32.9,50.6,6.71
Maize,Kharif,0,plains,21.79,55.8,60.52,26.3,13.18,sandy,140.7,58.0,51.4,55.3,7.23
Maize,Rabi,5,arid,19.56,54.69,46.87,37.6,15.53,sandy,142.2,56.9,58.7,53.4,5.98
Maize,Rabi,8,plains,25.06,74.78,23.52,32.6,43.88,clayey,132.5,53.4,58.6,65.0,5.55
Maize,Kharif,7,plains,23.61,68.98,33.96,30.01,36.03,clayey,121.2,50.0,47.8,56.8,6.44
Maize,Kharif,6,plains,28.42,82.11,45.57,25.12,29.31,sandy,83.3,38.3,30.1,51.8,6.11
Maize,Kharif,6,plains,22.55,94.97,48.29,30.34,21.37,sandy,81.5,37.3,32.1,58.2,5.68
Wheat,Rabi,8,plains,22.96,63.25,28.16,30.2,41.64,clayey,121.6,57.2,52.7,41.6,6.43
Rice,Kharif,14,humid,29.46,185.28,35.98,29.28,34.74,loamy,124.0,41.5,47.3,89.1,4.75
Wheat,Rabi,7,plains,20.95,60.99,41.17,31.68,27.15,loamy,110.1,39.0,40.0,45.3,7.08
Wheat,Rabi,3,plains,19.43,70.0,49.66,37.59,12.75,sandy,60.5,36.4,29.9,48.6,6.43
Maize,Kharif,9,plains,30.5,115.94,50.26,23.45,26.29,sandy,112.0,44.5,48.0,68.0,5.79
Maize,Kharif,7,plains,21.06,115.33,36.56,27.21,36.23,clayey,112.8,43.7,49.3,64.4,6.75
Maize,Kharif,4,plains,23.7,91.68,42.37,35.69,21.94,loamy,114.5,45.9,50.0,73.8,6.05
Rice,Kharif,1,humid,24.18,152.35,28.82,27.81,43.37,clayey,92.2,28.2,26.3,97.5,6.02
Sugarcane,Kharif,3,plains,27.74,124.78,19.7,35.96,44.34,clayey,182.0,79.7,84.3,83.3,7.36
Wheat,Rabi,13,arid,22.23,48.5,66.05,25.18,8.77,sandy,75.8,35.3,34.1,51.8,6.5
Wheat,Rabi,3,plains,21.08,70.0,43.76,34.16,22.08,loamy,109.7,48.4,39.9,38.9,6.59
Sugarcane,Kharif,9,plains,27.94,100.62,31.91,19.81,48.28,clayey,211.6,91.1,93.6,65.9,7.25
Maize,Rabi,9,plains,26.31,112.19,34.6,41.05,24.35,loamy,103.9,44.1,41.9,76.9,7.17
Wheat,Rabi,8,plains,22.42,62.46,26.58,29.75,43.67,clayey,65.3,27.7,36.2,56.9,7.1
Rice,Kharif,14,humid,28.8,168.68,37.3,28.39,34.31,loamy,110.8,39.4,46.5,94.3,4.61
Wheat,Rabi,7,plains,23.95,69.65,38.35,32.92,28.73,loamy,105.5,42.4,44.5,38.1,7.43
Maize,Kharif,0,plains,19.74,56.02,57.46,27.73,14.81,sandy,133.1,56.5,59.9,64.0,6.86
Sugarcane,Kharif,11,humid,24.39,162.03,31.32,38.31,30.37,loamy,187.4,81.8,71.6,70.2,6.94
Rice,Kharif,2,humid,31.22,123.06,8.11,32.98,58.91,clayey,91.6,31.7,29.5,90.4,5.07
Sugarcane,Kharif,12,arid,23.53,87.85,26.93,34.49,38.58,clayey,216.0,90.2,94.0,66.4,6.74
Maize,Kharif,5,arid,23.4,80.06,50.14,25.3,24.56,sandy,98.7,31.1,31.2,66.7,5.62
Rice,Kharif,11,humid,27.7,161.72,18.14,34.15,47.71,clayey,90.6,27.2,35.8,78.9,5.17
Rice,Kharif,2,humid,25.27,167.9,11.89,27.06,61.05,clayey,115.6,38.2,38.4,83.3,5.7
Sugarcane,Kharif,4,plains,24.8,117.19,26.68,36.47,36.85,clayey,194.2,71.2,79.7,81.7,6.03
Wheat,Rabi,13,arid,23.73,40.21,76.27,17.73,6.0,sandy,100.2,41.1,40.7,48.2,6.24
Rice,Kharif,11,humid,32.2,180.37,20.93,24.85,54.22,clayey,81.5,28.2,32.8,83.6,6.2
Sugarcane,Kharif,12,arid,30.75,88.82,35.32,28.52,36.16,clayey,169.0,70.3,84.1,66.2,6.09
Sugarcane,Kharif,11,humid,24.13,134.17,38.34,31.31,30.35,loamy,151.7,61.0,62.1,80.4,6.56
Sugarcane,Kharif,11,humid,26.39,128.72,35.26,30.3,34.44,loamy,225.6,91.2,92.6,82.2,7.49
Sugarcane,Kharif,9,plains,31.82,88.21,35.38,24.73,39.89,clayey,144.7,63.3,66.4,82.8,6.55
Rice,Kharif,10,humid,27.43,101.53,20.76,34.1,45.14,clayey,131.5,52.5,57.1,91.5,6.39
Sugarcane,Kharif,10,humid,26.67,130.06,23.56,43.15,33.29,loamy,202.9,84.4,75.4,81.6,6.83
Rice,Kharif,6,plains,31.04,103.83,22.78,22.78,54.44,clayey,148.7,54.2,55.2,87.3,4.98
Sugarcane,Kharif,12,arid,25.86,84.46,32.29,29.3,38.41,clayey,161.3,62.8,63.2,58.1,6.06
Wheat,Rabi,13,arid,22.47,40.94,72.3,22.82,4.88,sandy,99.1,43.9,47.2,57.6,6.06
Maize,Kharif,9,plains,24.7,90.28,45.69,33.29,21.02,sandy,87.2,37.6,38.6,79.3,6.73
Rice,Kharif,6,plains,32.33,144.43,22.26,27.21,50.53,clayey,139.9,48.2,49.4,83.1,5.96
Maize,Rabi,8,plains,29.14,93.38,31.95,27.63,40.42,clayey,122.0,43.3,39.9,51.3,6.65
Rice,Kharif,3,plains,31.33,112.23,9.56,41.04,49.4,clayey,134.5,51.1,52.2,89.5,5.74
Sugarcane,Kharif,5,arid,31.11,82.17,29.63,39.16,31.21,loamy,198.9,75.3,77.2,60.1,6.49
Rice,Kharif,2,humid,25.62,171.22,11.57,35.56,52.87,clayey,104.4,38.1,42.5,79.4,4.51
Maize,Kharif,4,plains,24.57,111.8,39.15,38.18,22.67,loamy,92.8,38.5,31.0,51.6,7.28
Maize,Kharif,0,plains,19.3,70.56,48.65,36.8,14.55,sandy,115.1,46.2,39.9,76.4,6.21
Wheat,Rabi,13,arid,23.57,49.78,73.1,21.17,5.73,sandy,95.7,38.2,44.0,49.3,7.44
Sugarcane,Kharif,3,plains,31.53,103.6,31.83,33.51,34.66,loamy,201.8,78.2,74.2,78.0,6.49
Rice,Kharif,6,plains,25.54,120.21,25.24,27.28,47.48,clayey,91.9,33.4,32.9,94.8,6.24
Wheat,Rabi,5,arid,17.47,67.0,57.33,26.97,15.7,sandy,91.3,41.5,39.6,33.7,7.0
Sugarcane,Kharif,2,humid,31.28,152.09,21.98,27.28,50.74,clayey,214.5,85.6,91.8,76.3,6.95
Wheat,Rabi,13,arid,23.63,37.82,68.81,21.62,9.57,sandy,141.1,50.8,56.0,46.2,7.49
Maize,Rabi,5,arid,25.4,88.27,53.27,34.2,12.53,sandy,130.4,57.0,52.7,54.6,6.46
Maize,Kharif,8,plains,28.82,99.68,31.2,26.61,42.19,clayey,105.9,46.5,45.7,57.0,6.75
Rice,Kharif,14,humid,27.15,142.16,34.54,29.99,35.47,clayey,114.8,43.6,45.0,85.4,4.8
Sugarcane,Kharif,4,plains,28.27,104.73,30.37,34.67,34.96,loamy,150.1,66.7,62.6,69.9,7.19
Sugarcane,Kharif,5,arid,22.17,85.41,37.62,31.8,30.58,loamy,131.5,55.8,61.1,69.3,7.37
Wheat,Rabi,8,plains,22.52,63.49,34.95,26.72,38.33,clayey,120.4,56.7,58.0,46.9,7.08
Rice,Kharif,6,plains,25.64,123.49,22.08,22.99,54.93,clayey,99.2,31.6,28.9,82.5,5.66
Wheat,Rabi,8,plains,23.21,54.91,32.62,32.43,34.95,loamy,76.8,30.5,32.7,49.7,6.43
Rice,Kharif,2,humid,26.28,136.33,12.0,33.39,54.61,clayey,93.6,30.9,29.8,85.1,6.46
Maize,Kharif,7,plains,27.95,100.33,34.83,32.65,32.52,loamy,139.2,50.7,52.2,57.6,6.15
Maize,Rabi,8,plains,26.23,92.31,26.15,26.91,46.94,clayey,81.6,36.7,39.9,70.1,6.97
Rice,Kharif,3,plains,33.46,139.96,12.68,35.94,51.38,clayey,111.8,44.2,40.9,86.0,5.31
Sugarcane,Kharif,12,arid,25.35,82.93,37.92,30.22,31.86,loamy,248.8,92.1,99.6,59.8,6.4
Maize,Kharif,4,plains,18.0,78.56,43.16,36.27,20.57,loamy,140.0,58.3,59.3,72.1,6.7
Maize,Kharif,8,plains,28.16,54.75,26.59,36.01,37.4,clayey,80.6,30.4,35.8,78.5,7.46
Rice,Kharif,14,humid,31.57,137.13,36.48,27.8,35.72,clayey,129.4,54.5,53.3,79.8,5.1
Wheat,Rabi,7,plains,21.99,62.84,33.38,36.07,30.55,loamy,120.3,54.4,49.0,42.0,6.94
Sugarcane,Kharif,3,plains,27.18,109.68,29.81,31.65,38.54,clayey,176.6,85.0,74.4,75.7,6.76
Wheat,Rabi,5,arid,22.31,65.27,61.87,31.73,6.4,sandy,107.5,41.6,43.1,44.2,6.95
Sugarcane,Kharif,5,arid,30.5,81.58,39.47,34.98,25.55,loamy,245.2,96.4,96.0,67.6,7.29
Maize,Kharif,8,plains,29.34,66.09,28.9,25.1,46.0,clayey,115.6,44.6,50.1,60.4,5.92
Rice,Kharif,10,humid,24.98,142.15,13.07,38.52,48.41,clayey,98.5,32.3,29.9,78.2,4.72
Maize,Kharif,9,plains,24.12,108.67,40.31,33.81,25.88,loamy,118.2,40.4,46.1,73.2,5.79
Sugarcane,Kharif,2,humid,25.65,154.35,21.04,29.18,49.78,clayey,147.5,68.7,66.6,71.8,6.05
Wheat,Rabi,4,plains,19.54,55.73,51.35,29.58,19.07,sandy,76.5,34.5,32.3,62.6,7.24
Sugarcane,Kharif,2,humid,26.06,156.31,17.13,35.87,47.0,clayey,173.5,78.9,76.6,81.8,7.46
Rice,Kharif,10,humid,25.62,172.47,23.4,34.43,42.17,clayey,143.3,47.1,50.9,87.8,4.81
Sugarcane,Kharif,3,plains,24.47,123.89,30.15,37.37,32.48,loamy,190.9,79.7,76.1,83.9,7.36
Rice,Kharif,2,humid,35.27,172.2,17.52,38.67,43.81,clayey,105.7,35.9,36.7,95.3,4.64
Rice,Kharif,1,humid,25.79,137.39,29.56,33.19,37.25,clayey,104.2,38.1,40.0,85.6,5.15
Rice,Kharif,6,plains,31.2,110.68,29.13,19.19,51.68,clayey,135.6,53.0,58.5,72.2,6.05
Rice,Kharif,2,humid,32.51,113.92,5.42,35.81,58.77,clayey,126.8,39.7,46.3,84.6,5.77
Maize,Kharif,5,arid,25.68,66.65,55.04,31.39,13.57,sandy,137.8,52.7,53.5,46.4,5.51
Rice,Kharif,14,humid,25.05,182.09,38.95,28.04,33.01,loamy,91.3,27.2,25.9,82.8,4.95
Sugarcane,Kharif,12,arid,35.18,84.8,36.63,30.89,32.48,loamy,138.0,56.1,55.1,67.0,6.48
Rice,Kharif,10,humid,24.99,121.71,25.06,38.93,36.01,clayey,80.9,32.0,30.2,95.0,5.19
Rice,Kharif,1,humid,24.22,186.21,25.39,30.03,44.58,clayey,80.5,31.6,31.0,94.9,4.96
Sugarcane,Kharif,3,plains,26.95,126.66,22.3,32.97,44.73,clayey,183.4,77.7,74.9,72.3,7.33
Maize,Rabi,8,plains,22.39,86.23,20.19,32.08,47.73,clayey,137.8,58.0,57.4,69.4,6.06
Sugarcane,Kharif,2,humid,27.5,145.55,17.15,36.88,45.97,clayey,198.6,71.9,79.0,76.7,6.58
Wheat,Rabi,7,plains,22.06,61.61,34.41,37.6,27.99,loamy,100.5,37.8,39.2,40.5,6.03
Sugarcane,Kharif,9,plains,35.0,98.2,32.8,27.2,40.0,clayey,146.9,68.7,55.5,61.5,7.28
Maize,Kharif,8,plains,25.89,70.58,17.18,33.61,49.21,clayey,110.6,47.1,42.5,54.8,7.35
Rice,Kharif,10,humid,32.75,102.13,15.33,42.96,41.71,clayey,94.7,31.5,36.0,88.8,4.93
Wheat,Rabi,7,plains,23.81,69.95,42.08,25.79,32.13,loamy,107.9,37.4,44.0,59.4,7.47
Rice,Kharif,3,plains,32.7,107.59,9.81,40.75,49.44,clayey,146.3,48.1,52.1,74.5,5.94
Sugarcane,Kharif,12,arid,34.76,80.35,40.74,23.7,35.56,clayey,232.7,91.9,90.2,72.5,6.03
Sugarcane,Kharif,3,plains,22.43,116.48,24.99,34.53,40.48,clayey,187.5,79.6,83.2,83.7,7.48
Sugarcane,Kharif,3,plains,32.07,124.39,32.46,33.18,34.36,loamy,234.1,95.2,88.3,73.5,6.13
Maize,Rabi,7,plains,24.68,77.05,39.75,24.41,35.84,clayey,121.9,47.5,44.8,72.0,5.72
Wheat,Rabi,5,arid,16.03,62.85,53.36,30.29,16.35,sandy,149.4,53.2,58.0,44.6,6.77
Maize,Kharif,7,plains,20.81,85.3,32.5,28.94,38.56,clayey,136.1,58.2,50.9,61.8,7.47
Sugarcane,Kharif,2,humid,25.89,158.78,21.29,27.21,51.5,clayey,227.0,94.0,87.5,65.1,6.3
Rice,Kharif,3,plains,31.76,114.31,9.48,43.18,47.34,clayey,96.5,28.9,28.0,73.5,4.65
Wheat,Rabi,4,plains,22.6,60.45,49.34,38.19,12.47,sandy,85.6,27.5,36.3,39.0,7.25
Rice,Kharif,2,humid,26.53,165.28,8.38,40.41,51.21,clayey,113.0,36.6,48.3,84.9,4.68
Sugarcane,Kharif,12,arid,24.35,89.7,38.72,31.81,29.47,loamy,127.6,55.6,67.0,73.2,6.38
Sugarcane,Kharif,5,arid,25.72,85.15,36.25,37.58,26.17,loamy,218.9,98.8,86.3,67.0,6.91
Sugarcane,Kharif,5,arid,27.62,87.96,28.5,38.96,32.54,loamy,200.8,70.7,77.9,74.1,6.2
Sugarcane,Kharif,4,plains,33.6,100.42,26.86,33.93,39.21,clayey,176.9,71.3,76.5,84.7,6.45
Rice,Kharif,2,humid,25.73,101.84,8.34,37.08,54.58,clayey,94.8,25.7,26.6,95.8,4.92
Maize,Kharif,9,plains,27.83,84.1,36.68,35.34,27.98,loamy,122.8,48.3,41.8,78.5,7.05
Sugarcane,Kharif,9,plains,26.32,109.57,34.45,27.9,37.65,clayey,185.1,81.6,83.3,77.9,7.33
Rice,Kharif,11,humid,32.11,146.46,33.65,25.74,40.61,clayey,135.7,52.2,54.8,97.6,5.43
Maize,Kharif,6,plains,25.01,102.39,47.87,24.96,27.17,sandy,143.2,52.7,52.3,50.7,7.37
Wheat,Rabi,7,plains,23.09,67.48,41.06,26.5,32.44,loamy,86.4,34.5,32.3,42.5,6.33
Rice,Kharif,3,plains,29.27,100.94,23.0,33.34,43.66,clayey,84.4,26.2,28.6,81.5,5.1
Sugarcane,Kharif,2,humid,34.44,155.05,12.6,34.65,52.75,clayey,215.3,99.7,97.1,84.6,6.69
Maize,Kharif,7,plains,21.72,115.48,27.02,37.56,35.42,clayey,102.9,30.4,31.3,53.1,6.28
Maize,Kharif,9,plains,25.56,113.99,42.04,26.46,31.5,loamy,105.8,49.3,49.4,53.5,6.12
Wheat,Rabi,12,arid,21.88,66.7,52.32,25.44,22.24,sandy,73.3,26.6,36.1,54.2,6.09
Rice,Kharif,11,humid,31.59,172.88,29.52,28.48,42.0,clayey,149.7,52.3,57.4,89.7,5.75
Wheat,Rabi,3,plains,18.51,70.0,40.13,35.29,24.58,loamy,122.3,52.9,58.3,65.3,7.21
Sugarcane,Kharif,12,arid,30.18,87.07,30.03,38.91,31.06,loamy,240.3,86.6,98.2,59.8,7.03
Sugarcane,Kharif,4,plains,22.08,119.59,33.04,27.48,39.48,clayey,150.5,62.8,62.6,69.1,7.27
Wheat,Rabi,3,plains,20.0,70.0,46.76,29.03,24.21,sandy,88.6,30.4,35.2,65.9,6.16
Sugarcane,Kharif,2,humid,22.42,102.47,17.53,32.84,49.63,clayey,135.7,58.4,56.5,88.8,6.86
Rice,Kharif,10,humid,33.47,116.45,19.54,39.91,40.55,clayey,115.5,39.7,37.4,89.9,4.95
Sugarcane,Kharif,12,arid,34.82,82.59,25.56,25.78,48.66,clayey,189.8,77.9,84.3,69.5,6.67
Wheat,Rabi,3,plains,23.2,70.0,44.81,31.91,23.28,loamy,143.0,59.1,53.5,60.6,6.14
Sugarcane,Kharif,4,plains,28.6,83.12,37.54,23.93,38.53,clayey,120.8,66.3,60.4,83.6,6.15
Maize,Rabi,4,plains,26.62,63.36,47.43,30.79,21.78,sandy,81.2,35.3,33.0,68.7,5.61
Sugarcane,Kharif,3,plains,24.94,133.86,33.27,37.09,29.64,loamy,249.9,86.6,95.3,84.5,6.97
Sugarcane,Kharif,2,humid,33.3,146.27,14.67,41.87,43.46,clayey,123.4,61.7,56.4,87.6,7.35
Sugarcane,Kharif,3,plains,29.16,86.64,28.39,35.33,36.28,clayey,148.2,64.1,65.5,67.2,6.31
Sugarcane,Kharif,12,arid,31.54,83.44,42.46,29.41,28.13,loamy,157.3,59.1,58.0,62.0,6.11
Sugarcane,Kharif,12,arid,31.35,89.03,25.07,31.61,43.32,clayey,186.0,74.7,72.1,75.7,7.08
Wheat,Rabi,3,plains,23.17,70.0,48.64,36.82,14.54,sandy,65.8,30.7,33.6,54.1,7.26
Maize,Rabi,5,arid,22.58,73.28,51.18,29.07,19.75,sandy,101.3,37.4,36.6,50.2,6.02
Rice,Kharif,10,humid,31.81,156.26,22.03,39.3,38.67,clayey,94.8,28.1,36.1,94.5,4.61
Rice,Kharif,1,humid,26.33,128.55,21.4,34.58,44.02,clayey,119.1,35.4,43.3,93.1,5.5
Sugarcane,Kharif,3,plains,32.76,117.92,21.96,36.24,41.8,clayey,215.0,85.3,90.3,73.9,6.2
Maize,Kharif,7,plains,28.45,103.7,25.39,32.85,41.76,clayey,103.9,43.9,45.9,76.9,5.61
Rice,Kharif,3,plains,33.05,135.31,9.47,37.01,53.52,clayey,102.5,25.5,29.1,93.2,4.71
Rice,Kharif,10,humid,26.72,125.3,22.44,34.84,42.72,clayey,118.0,36.5,41.0,94.7,5.45
Sugarcane,Kharif,5,arid,22.58,83.8,37.52,33.7,28.78,loamy,185.3,71.2,70.6,70.6,6.17
Maize,Kharif,6,plains,27.84,82.15,42.64,27.05,30.31,loamy,132.8,51.0,50.9,59.4,5.8
Rice,Kharif,6,plains,30.31,135.44,22.34,21.11,56.55,clayey,121.9,41.4,46.7,76.1,6.28
Rice,Kharif,14,humid,28.8,131.64,38.22,24.86,36.92,clayey,144.5,51.0,50.7,85.0,5.73
Sugarcane,Kharif,2,humid,22.98,114.07,23.48,34.5,42.02,clayey,226.4,85.3,96.6,73.4,6.55
Maize,Kharif,9,plains,31.22,105.07,39.69,33.66,26.65,loamy,132.5,57.3,54.3,67.7,7.04
Rice,Kharif,10,humid,28.06,161.68,15.7,38.36,45.94,clayey,102.7,34.2,35.4,86.1,6.39
Sugarcane,Kharif,2,humid,28.04,156.33,23.07,27.33,49.6,clayey,122.6,68.3,59.5,76.8,7.24
Rice,Kharif,11,humid,31.12,180.68,21.59,38.65,39.76,clayey,144.8,47.7,59.2,90.2,5.84
Maize,Kharif,6,plains,22.66,90.78,37.17,27.07,35.76,clayey,106.6,49.8,49.6,57.3,7.48
Rice,Kharif,3,plains,24.73,100.37,18.83,33.37,47.8,clayey,134.2,46.0,51.0,90.6,4.85
Maize,Kharif,5,arid,22.95,80.87,47.95,32.59,19.46,sandy,149.5,57.9,57.7,58.3,6.14
Wheat,Rabi,13,arid,22.8,47.11,71.03,23.87,5.1,sandy,126.0,50.6,52.4,59.9,7.36
Wheat,Rabi,12,arid,22.81,69.11,51.93,32.35,15.72,sandy,88.7,25.6,30.8,46.1,6.35
Wheat,Rabi,3,plains,19.99,70.0,48.01,38.51,13.48,sandy,129.1,55.6,55.4,39.2,6.96
Maize,Kharif,7,plains,26.8,100.89,32.69,35.75,31.56,loamy,114.8,42.9,43.2,60.2,6.64
Rice,Kharif,11,humid,26.95,164.18,21.24,31.7,47.06,clayey,133.6,49.8,59.7,92.0,5.36
Sugarcane,Kharif,2,humid,35.12,139.87,28.53,28.08,43.39,clayey,140.1,56.1,65.5,82.5,6.79
Rice,Kharif,6,plains,30.42,140.21,22.98,30.16,46.86,clayey,89.0,25.9,35.6,87.2,5.3
Maize,Kharif,6,plains,23.72,116.0,47.08,31.61,21.31,sandy,121.5,40.1,46.7,70.6,7.47
Rice,Kharif,11,humid,30.47,136.58,28.97,33.41,37.62,clayey,104.6,42.4,42.8,78.8,6.04
Sugarcane,Kharif,3,plains,29.07,124.37,19.25,42.44,38.31,clayey,151.6,62.6,66.0,75.1,6.59
Maize,Kharif,7,plains,23.03,104.73,25.92,31.96,42.12,clayey,88.0,33.4,38.9,69.0,7.05
Rice,Kharif,10,humid,29.35,150.83,9.17,37.43,53.4,clayey,99.8,31.6,30.0,81.1,4.92
Wheat,Rabi,3,plains,19.94,70.0,42.68,30.76,26.56,loamy,102.7,41.9,38.5,61.1,7.02
Sugarcane,Kharif,12,arid,28.62,82.99,27.68,34.87,37.45,clayey,121.2,55.3,62.7,78.8,6.17
Sugarcane,Kharif,11,humid,24.13,131.8,39.58,30.62,29.8,loamy,149.5,63.9,60.4,65.4,7.08
Wheat,Rabi,5,arid,16.99,66.74,66.02,28.41,5.57,sandy,144.5,58.8,58.0,33.4,6.48
Wheat,Rabi,12,arid,20.75,60.17,51.67,36.49,11.84,sandy,112.6,47.4,41.7,62.3,6.15
Wheat,Rabi,8,plains,22.7,63.55,30.39,32.56,37.05,clayey,110.0,40.7,41.2,60.8,6.02
Sugarcane,Kharif,5,arid,34.49,88.69,42.0,25.23,32.77,loamy,147.9,68.4,67.3,79.9,6.88
Wheat,Rabi,7,plains,20.01,63.78,36.95,35.62,27.43,loamy,139.9,56.0,51.3,42.3,6.03
Wheat,Rabi,5,arid,15.55,45.46,56.95,28.6,14.45,sandy,132.4,48.7,50.3,58.9,7.42
Maize,Kharif,7,plains,31.3,110.99,33.59,27.49,38.92,clayey,120.2,48.8,44.3,75.3,7.35
Sugarcane,Kharif,11,humid,29.84,138.45,30.97,33.38,35.65,clayey,242.4,91.2,99.8,81.8,6.88
Maize,Kharif,6,plains,29.87,117.24,44.59,27.63,27.78,loamy,141.1,59.5,50.6,68.7,6.19
Rice,Kharif,14,humid,28.96,143.82,31.41,23.16,45.43,clayey,86.1,32.6,27.4,95.0,5.37
Rice,Kharif,1,humid,24.78,182.31,27.32,31.83,40.85,clayey,86.1,27.2,30.4,79.4,6.01
Maize,Rabi,6,plains,29.97,111.96,51.47,23.11,25.42,sandy,96.2,32.9,38.1,60.9,5.93
Wheat,Rabi,8,plains,22.78,62.65,28.27,30.97,40.76,clayey,119.3,45.6,47.9,59.1,6.01
Wheat,Rabi,8,plains,22.76,60.97,35.57,21.74,42.69,clayey,125.3,55.9,57.2,55.9,6.82
Rice,Kharif,3,plains,31.09,125.33,10.87,34.34,54.79,clayey,89.3,30.8,26.0,74.3,5.71
Sugarcane,Kharif,4,plains,22.5,81.3,33.73,33.4,32.87,loamy,174.1,76.0,72.0,67.0,6.8
Wheat,Rabi,5,arid,20.87,42.79,51.02,29.44,19.54,sandy,100.0,40.1,47.5,33.9,7.23
Rice,Kharif,6,plains,28.96,122.98,24.7,24.11,51.19,clayey,114.6,36.4,44.3,83.5,4.64
Rice,Kharif,14,humid,30.1,173.57,38.19,21.98,39.83,clayey,128.5,45.7,59.2,84.5,5.05
Rice,Kharif,11,humid,28.48,162.23,28.55,24.88,46.57,clayey,141.0,48.8,57.4,81.8,5.59
Sugarcane,Kharif,12,arid,27.36,89.86,31.45,35.38,33.17,loamy,226.9,91.4,96.7,68.0,6.21
Wheat,Rabi,3,plains,23.49,70.0,45.1,39.46,15.44,sandy,109.5,41.2,39.3,39.7,6.59
Rice,Kharif,3,plains,28.85,100.99,13.34,32.51,54.15,clayey,98.8,27.5,33.9,77.7,5.32
Maize,Kharif,8,plains,25.8,94.4,29.24,22.1,48.66,clayey,143.1,55.0,54.4,62.1,6.75
Wheat,Rabi,5,arid,16.2,50.52,54.3,30.57,15.13,sandy,139.8,56.6,48.5,44.2,6.1
Rice,Kharif,1,humid,28.91,123.62,25.37,32.94,41.69,clayey,111.0,38.1,37.8,85.9,4.58
Maize,Rabi,5,arid,27.73,48.58,53.7,29.89,16.41,sandy,134.5,58.1,51.4,62.8,6.68
Sugarcane,Kharif,3,plains,26.92,118.0,20.07,38.28,41.65,clayey,245.8,85.4,97.8,80.3,6.45
Sugarcane,Kharif,5,arid,25.15,89.74,34.48,28.77,36.75,clayey,197.3,78.5,73.4,64.8,7.36
Wheat,Rabi,12,arid,20.94,62.8,55.37,31.39,13.24,sandy,110.7,46.6,45.5,48.9,7.08
Rice,Kharif,2,humid,25.49,125.02,10.95,38.48,50.57,clayey,131.8,46.1,56.4,87.2,5.83
Wheat,Rabi,5,arid,18.48,55.31,50.36,33.72,15.92,sandy,111.8,44.8,38.1,51.8,7.39
Rice,Kharif,14,humid,29.23,139.18,32.87,26.34,40.79,clayey,148.3,47.4,51.8,89.5,5.48
Sugarcane,Kharif,9,plains,28.79,97.25,35.64,19.74,44.62,clayey,178.3,85.1,74.5,62.6,7.44
Maize,Kharif,6,plains,28.67,90.7,37.14,27.28,35.58,clayey,145.1,57.6,53.6,74.6,7.49
Wheat,Rabi,4,plains,16.05,56.51,47.16,41.85,10.99,sandy,134.5,50.1,56.7,64.1,7.02
Sugarcane,Kharif,4,plains,29.01,104.26,27.34,33.85,38.81,clayey,132.2,69.5,58.9,75.5,7.27
Maize,Kharif,8,plains,22.56,74.44,24.98,26.4,48.62,clayey,146.5,57.0,59.3,67.4,6.73
Rice,Kharif,10,humid,27.57,105.27,20.74,35.21,44.05,clayey,109.2,41.7,41.5,80.5,6.49
Wheat,Rabi,4,plains,21.18,59.1,42.12,38.85,19.03,loamy,134.0,58.4,51.3,43.3,6.44
Rice,Kharif,14,humid,24.38,179.51,42.4,24.24,33.36,loamy,143.9,48.1,50.5,97.9,6.27
Sugarcane,Kharif,3,plains,29.9,102.4,31.18,35.72,33.1,loamy,196.0,84.4,77.5,72.6,6.98
Wheat,Rabi,12,arid,23.57,40.09,59.87,24.69,15.44,sandy,133.7,53.9,55.6,34.2,6.91
Sugarcane,Kharif,10,humid,33.8,131.97,27.07,37.87,35.06,clayey,246.9,92.4,97.7,76.4,6.69
Wheat,Rabi,8,plains,23.32,50.16,28.28,32.94,38.78,clayey,72.9,27.9,31.3,66.3,6.36
Sugarcane,Kharif,11,humid,29.67,164.27,38.84,28.62,32.54,loamy,146.8,66.2,67.5,68.8,6.85
Wheat,Rabi,7,plains,20.49,61.97,32.23,31.81,35.96,clayey,85.1,35.6,27.9,64.6,6.97
Sugarcane,Kharif,5,arid,26.51,83.31,39.77,27.11,33.12,loamy,216.0,99.1,95.5,69.1,7.28
Wheat,Rabi,3,plains,21.74,70.0,45.48,34.2,20.32,sandy,104.8,44.1,46.1,63.3,6.72
Wheat,Rabi,3,plains,21.36,70.0,53.7,30.82,15.48,sandy,90.3,41.7,46.5,49.3,6.01
Rice,Kharif,6,plains,25.19,114.04,20.86,30.25,48.89,clayey,108.2,36.5,40.3,95.0,5.04
Rice,Kharif,6,plains,25.08,120.06,18.43,31.38,50.19,clayey,84.7,34.9,31.3,93.8,5.29
Wheat,Rabi,13,arid,23.21,35.6,77.28,18.13,4.59,sandy,89.2,34.7,26.4,55.1,7.4
Sugarcane,Kharif,9,plains,32.2,124.58,37.12,24.35,38.53,clayey,207.8,91.2,88.5,74.1,6.53
